Поезд/;Месяц операции;Станция отп.;Станция назн.;Тип/;Кол-во;Сумма по бил.;Сумма по плац.;Сервис;Итог;Расстояние
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3922.8;1924.8;178;6025.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1587.6;1058.4;178;2824;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3335.6;2223.7;192;5751.3;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3335.6;2223.7;192;5751.3;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1373.6;673.9;178;2225.5;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1373.6;673.9;178;2225.5;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3922.8;1924.8;178;6025.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1373.6;673.9;178;2225.5;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1373.6;673.9;178;2225.5;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1373.6;673.9;178;2225.5;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1297.2;864.8;192;2354;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3334.4;1636;178;5148.4;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4536;3024;178;7738;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3922.8;1924.8;178;6025.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;2;7845.6;3849.6;356;12051.2;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;5;19614;9624;890;30128;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3922.8;1924.8;178;6025.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3922.8;1924.8;178;6025.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3334.4;1636;178;5148.4;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3922.8;1924.8;178;6025.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;К/2К ;3;11768.4;5774.4;534;18076.8;1790
